# id	roman	expected	category	generalization	status	notes
C001	ilaa	ఇలా	candidate-ranking-feature	long-vowel-aa-split	ranking-implemented	Demote meaningless vowel splits such as ఇలఅ below long-vowel forms.
C002	ilaage	ఇలాగే	exact-common-word	none	exact-only	Common chat lexical item confirmed by user.
C003	parledu	పర్లేదు	exact-common-word	none	exact-only	Common conversational spelling.
C004	thindi	తిండి	exact-common-word	none	exact-only	Common food word; exact correction is safer than a broad n+d nasal rule.
C005	potunattlu	పొతున్నట్లు	exact-common-word	none	exact-only	User confirmed this conversational spelling.
C006	pothunatlu	పొతున్నట్లు	exact-common-word	none	exact-only	User confirmed this conversational spelling.
C007	entasepu	ఎంతసేపు	exact-common-word	compound-word	exact-only	Single-word compound should beat literal per-syllable output.
C008	inthena	ఇంతేనా	exact-common-word	none	exact-only	Common conversational question form.
C009	vasthundo	వస్తుందో	generalized-suffix-pattern	final-do-to-doo	pattern-implemented	Final roman do often means దో in common chat.
C010	pothundo	పోతుందో	generalized-suffix-pattern	final-do-to-doo	pattern-implemented	Final roman do often means దో in common chat.
C011	ko	కో	generalized-suffix-pattern	final-ko-to-koo	pattern-implemented	Common imperative/reflexive ending.
C012	paduko	పడుకో	generalized-suffix-pattern	final-ko-to-koo	pattern-implemented	Stem plus కో pattern, with curated exact row for ranking.
C013	veltunnavo	వెళ్తున్నావో	generalized-suffix-pattern	tunnavo-family	pattern-implemented	Common spoken -tunnavo/-thunnavo family.
C014	lekunna	లేకున్నా	generalized-suffix-pattern	final-nna-to-nnaa	pattern-implemented	Final nna commonly maps to న్నా in this class.
C015	lekapoina	లేకపోయినా	generalized-suffix-pattern	final-poina-after-stem	pattern-implemented	Stem + poina often means పోయినా.
C016	poina	పోయిన	generalized-suffix-pattern	bare-poina-order	pattern-implemented	Bare poina defaults to పోయిన while still offering పోయినా.
C017	elagaina	ఎలాగైనా	generalized-suffix-pattern	final-gaina-to-gainaa	pattern-implemented	Common -గైనా ending.
C018	ivvana	ఇవ్వనా	exact-common-word	none	exact-only	Common verb form; broad vvana rules need more data.
C019	isthunna	ఇస్తున్నా	generalized-suffix-pattern	final-unna-to-unnaa	pattern-implemented	Stem + unna pattern.
C020	ichana	ఇచ్చిన	candidate-ranking-feature	context-sensitive-ina-vs-inaa	ranking-implemented	Before vadiki, ఇచ్చిన should beat ఇచ్చినా.
C021	ichi	ఇచ్చి	candidate-ranking-feature	short-vowel-chi-gemination	ranking-implemented	Geminated చ్చి is the useful default; literal ఇచి remains selectable.
C022	pichi	పిచ్చి	candidate-ranking-feature	short-vowel-chi-gemination	ranking-implemented	Geminated చ్చి is the useful default; literal పిచి remains selectable.
C023	pachi	పచ్చి	candidate-ranking-feature	short-vowel-chi-gemination	ranking-implemented	Geminated చ్చి is the useful default.
C024	puchukunte	పుచ్చుకుంటే	exact-common-word	verb-family-pucchu	exact-only	Verb-family correction; unsafe to broaden without more examples.
C025	nake	నాకే	generalized-suffix-pattern	dative-pronoun-emphatic-e	pattern-implemented	na/naa + ke maps to emphatic నాకే.
C026	naake	నాకే	generalized-suffix-pattern	dative-pronoun-emphatic-e	pattern-implemented	na/naa + ke maps to emphatic నాకే.
C027	explicit-selection	-	local-user-learning-case	local-learning	local-runtime	Explicit candidate selections are learned locally and should outrank defaults.
