# roman	telugu	score
nenu	నేను	300
neenu	నేను	292
nuvvu	నువ్వు	300
nuv	నువ్వు	286
nuuvu	నువ్వు	280
meeru	మీరు	300
miru	మీరు	292
memu	మేము	286
manam	మనం	290
mana	మన	276
maaku	మాకు	276
naaku	నాకు	290
nake	నాకే	294
naake	నాకే	294
neeku	నీకు	288
meeku	మీకు	286
naadi	నాది	270
needi	నీది	270
meedi	మీది	268
vaadu	వాడు	270
vadu	వాడు	266
vadiki	వాడికి	284
vaadiki	వాడికి	282
aame	ఆమె	270
ame	ఆమె	266
vaallu	వాళ్లు	272
vallu	వాళ్లు	266
idi	ఇది	286
adi	అది	284
ivi	ఇవి	270
avi	అవి	270
ikkada	ఇక్కడ	286
akkada	అక్కడ	284
ekkada	ఎక్కడ	292
ekkadiki	ఎక్కడికి	284
ekkadinundi	ఎక్కడినుండి	270
evaru	ఎవరు	292
evvaru	ఎవరు	280
emi	ఏమి	290
em	ఏం	310
emo	ఏమో	292
enti	ఏంటి	294
enduku	ఎందుకు	292
endhuku	ఎందుకు	284
ela	ఎలా	310
ilaa	ఇలా	308
ilaage	ఇలాగే	306
ilage	ఇలాగే	298
elaga	ఎలాగా	278
elagaina	ఎలాగైనా	300
elaagaina	ఎలాగైనా	296
eppudu	ఎప్పుడు	290
eppudoo	ఎప్పుడూ	292
ippudu	ఇప్పుడు	292
appudu	అప్పుడు	282
appudoo	అప్పుడూ	284
yellappudu	యెల్లప్పుడూ	292
yellappudoo	యెల్లప్పుడూ	294
entasepu	ఎంతసేపు	270
enthasepu	ఎంతసేపు	270
enthaasepu	ఎంతసేపు	268
entasepuu	ఎంతసేపు	264
entha	ఎంత	282
inthe	ఇంతే	278
inthey	ఇంతే	272
inthena	ఇంతేనా	304
inthenaa	ఇంతేనా	304
inthenaaa	ఇంతేనా	296
intena	ఇంతేనా	292
intenaa	ఇంతేనా	292
enni	ఎన్ని	276
edi	ఏది	280
yevaru	ఎవరు	276
yekkada	ఎక్కడ	274
yela	ఎలా	276
yem	ఏం	276
avunu	అవును	294
avunaa	అవునా	286
avuna	అవునా	284
ledu	లేదు	300
ledhu	లేదు	288
parledu	పర్లేదు	304
parledhu	పర్లేదు	296
parvaledu	పర్లేదు	292
parvaledhu	పర్లేదు	288
kadu	కాదు	292
kaadu	కాదు	296
kada	కద	294
sare	సరే	292
sarey	సరే	286
okay	ఓకే	278
ok	ఓకే	276
ala	అలా	296
alaa	అలా	294
alage	అలాగే	284
alane	అలానే	286
alaane	అలానే	284
alaga	అలాగా	274
mari	మరి	278
kani	కానీ	280
kaani	కానీ	276
kooda	కూడా	296
koodaa	కూడా	294
ante	అంటే	286
anduke	అందుకే	280
kabatti	కాబట్టి	280
aithe	అయితే	284
ayithe	అయితే	278
inka	ఇంకా	286
inkem	ఇంకేం	274
malli	మళ్లీ	292
mallee	మళ్లీ	282
chala	చాలా	292
chaala	చాలా	290
konchem	కొంచెం	288
kochem	కొంచెం	270
bagundi	బాగుంది	300
baagundi	బాగుంది	294
bagundhi	బాగుంది	286
bagunnav	బాగున్నావ్	298
bagunnava	బాగున్నావా	310
bagunnavu	బాగున్నావు	298
bagunnara	బాగున్నారా	304
baagunnara	బాగున్నారా	292
bagunnanu	బాగున్నాను	292
baagunnanu	బాగున్నాను	286
bagoledu	బాగోలేదు	292
bagaledu	బాగాలేదు	280
super	సూపర్	286
supere	సూపరే	268
manchidi	మంచిది	286
manchidhi	మంచిది	276
manchi	మంచి	286
badha	బాధ	270
santosham	సంతోషం	288
santhosham	సంతోషం	280
dhanyavadalu	ధన్యవాదాలు	286
thanks	థాంక్స్	280
thankyou	థాంక్యూ	276
sorry	సారీ	282
saari	సారీ	274
sari	సారి	286
namaste	నమస్తే	286
namaskaram	నమస్కారం	290
hai	హాయ్	286
hi	హాయ్	284
hello	హలో	282
bye	బై	280
goodnight	గుడ్‌నైట్	276
goodmorning	గుడ్‌మార్నింగ్	276
shubharatri	శుభరాత్రి	272
subharatri	శుభరాత్రి	268
unnav	ఉన్నావ్	320
unnavu	ఉన్నావు	316
unnaru	ఉన్నారు	318
unnara	ఉన్నారా	306
unnava	ఉన్నావా	318
unnana	ఉన్నానా	292
unnanu	ఉన్నాను	302
unnam	ఉన్నాం	292
unnadi	ఉన్నది	280
undi	ఉంది	292
undhi	ఉంది	286
ayyinda	అయ్యిందా	292
ayinda	అయిందా	286
unnayi	ఉన్నాయి	288
untav	ఉంటావ్	292
untava	ఉంటావా	294
untavu	ఉంటావు	290
untaru	ఉంటారు	292
untara	ఉంటారా	288
untanu	ఉంటాను	286
untam	ఉంటాం	282
leduga	లేదుగా	282
undaa	ఉందా	282
unda	ఉందా	280
chestunnav	చేస్తున్నావ్	320
chestunnavu	చేస్తున్నావు	312
chestunnava	చేస్తున్నావా	310
chestunnaru	చేస్తున్నారు	306
chestunnara	చేస్తున్నారా	300
chestunna	చేస్తున్నా	298
chestunnanu	చేస్తున్నాను	300
chestunnam	చేస్తున్నాం	286
chesthunnav	చేస్తున్నావ్	300
chesthunnavu	చేస్తున్నావు	294
chesthunnava	చేస్తున్నావా	292
chesthunna	చేస్తున్నా	288
chestav	చేస్తావ్	292
chestava	చేస్తావా	294
chestavu	చేస్తావు	288
chestaru	చేస్తారు	286
chestara	చేస్తారా	284
chestanu	చేస్తాను	288
chesa	చేశా	292
chesanu	చేశాను	290
chesava	చేశావా	292
chesav	చేశావ్	290
chesaru	చేశారు	288
ichi	ఇచ్చి	294
ichi	ఇచి	282
icchi	ఇచ్చి	292
ichana	ఇచ్చిన	292
ichana	ఇచ్చినా	286
ichana	ఇచ్చానా	280
ichina	ఇచ్చిన	292
ichinaa	ఇచ్చినా	286
icchina	ఇచ్చిన	288
icchinaa	ఇచ్చినా	284
cheyyi	చెయ్యి	286
cheyi	చెయ్	278
cheppu	చెప్పు	292
cheppandi	చెప్పండి	288
cheppava	చెప్పావా	286
cheppanu	చెప్పాను	280
cheppaledu	చెప్పలేదు	280
cheppandi	చెప్పండి	288
adugu	అడుగు	276
adigava	అడిగావా	276
adiganu	అడిగాను	274
vastunnav	వస్తున్నావ్	298
